date,time,de,le,pc,qd,fc,la,lo,cn,ff,jf,sp,su,ty
01-06-2020,630,Strada Ciresoaia,0.59227,15165,-,3,46.53339555555555,26.923433888888887,0.93,47.6,0.0,50.0,50.93,TR
01-06-2020,630,Strada \xcenfratirii,0.17775,15166,-,3,46.532684,26.929719,0.89,49.3,0.0,50.0,53.54,TR
01-06-2020,630,Strada Ciprian Porumbescu,0.29777,15167,-,3,46.533695,26.932919166666665,0.88,30.0,0.0,30.0,37.94,TR
01-06-2020,630,Strada Tecuciului,3.63963,15168,-,3,46.527142628205155,26.94983673076924,0.93,34.0,0.0,35.76,35.76,TR
01-06-2020,630,Calea Romanului (DN2),0.17685,15175,+,1,46.57532750000001,26.931275,0.75,41.1,0.32086,39.58,39.58,TR
01-06-2020,630,Strada Luceafarului,0.27201,15174,+,3,46.57385777777777,26.932426666666665,0.81,46.1,1.0602,40.48,40.48,TR
01-06-2020,630,Strada Holtului,0.25424,15173,+,3,46.57097749999999,26.934008750000004,0.89,50.0,0.15638,49.1,49.1,TR
01-06-2020,630,Trecatoarea Oltului,0.44267,15172,+,3,46.56807450000001,26.935354,0.9,50.0,0.0,50.0,51.75,TR
01-06-2020,630,Letea Veche,1.37326,15171,+,3,46.56087486486486,26.939894054054058,0.84,50.0,0.56384,46.76,46.76,TR
01-06-2020,630,Strada Chimiei,3.40283,15170,+,3,46.54619023809526,26.950601904761907,0.84,51.7,0.78105,47.06,47.06,TR
01-06-2020,630,Strada Chimiei,0.07474,15170,-,3,46.528045000000006,26.962455,0.95,48.0,1.03195,39.3,39.3,TR
01-06-2020,630,Letea Veche,3.32808,15171,-,3,46.54709750000001,26.95000925000001,0.97,50.2,0.5755,46.88,46.88,TR
01-06-2020,630,Trecatoarea Oltului,1.37326,15172,-,3,46.56087486486488,26.93989405405405,0.97,50.0,0.32629,48.12,48.12,TR
01-06-2020,630,Strada Holtului,0.44267,15173,-,3,46.5680745,26.935353999999997,0.96,50.0,1.07583,43.81,43.81,TR
01-06-2020,630,Strada Luceafarului,0.25424,15174,-,3,46.57097749999999,26.93400875,0.97,50.0,2.01649,38.41,38.41,TR
01-06-2020,630,Calea Romanului (DN2),0.44887,15175,-,1,46.5743272,26.93215200000001,0.98,44.6,1.80274,35.35,35.35,TR
01-06-2020,630,Calea Marasesti,0.03406,15181,+,1,46.56036333333333,26.91255,0.87,50.0,0.0,50.0,56.44,TR
01-06-2020,630,Strada Alexandru Cel Bun,0.56765,15180,+,1,46.56277799999997,26.91493090909091,0.86,48.6,0.25626,47.17,47.17,TR
01-06-2020,630,Strada Ana Ipatescu,0.26786,15179,+,1,46.56590555555557,26.91692111111111,0.9,49.4,2.80542,30.46,30.46,TR
01-06-2020,630,Strada Dumbravei,0.11057,15178,+,1,46.567552727272734,26.916392727272726,0.9,49.0,3.40464,26.81,26.81,TR
01-06-2020,630,Bulevardul Unirii (DN2),0.26517,15177,+,1,46.56948161290323,26.915424516129033,0.88,40.3,2.64532,25.04,25.04,TR
01-06-2020,630,Bulevardul Unirii (DN2),0.02497,15177,-,1,46.57005555555557,26.91502777777778,0.87,37.4,3.75731,18.24,18.24,TR
01-06-2020,630,Strada Dumbravei,0.23438,15178,-,1,46.56910210526316,26.915591052631584,0.75,43.6,3.14159,19.26,19.26,TR
01-06-2020,630,Strada Ana Ipatescu,0.11057,15179,-,1,46.56755272727273,26.91639272727273,0.75,49.0,1.26418,41.88,41.88,TR
01-06-2020,630,Strada Alexandru Cel Bun,0.29727,15180,-,1,46.56569875000001,26.916887187500002,0.77,49.7,1.16033,43.07,43.07,TR
